"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.261995333E0,1.116095066E0,-1.374529209E-2,1.764078741E-3,1.116181097E0
2.271979333E0,1.150764346E0,-2.121951059E-2,-5.270967726E-3,1.150972037E0
2.281964333E0,1.181177616E0,-2.524141781E-2,-8.938141167E-3,1.181481096E0
2.291948333E0,1.199278116E0,-1.646996662E-2,-7.246661931E-3,1.199413096E0
2.301933333E0,1.211397409E0,-6.028512493E-3,-3.938162699E-4,1.211412474E0
2.311917333E0,1.221361995E0,-3.515589051E-3,1.110120211E-2,1.221417504E0
2.321902333E0,1.227208376E0,-3.872985253E-3,1.400990598E-2,1.227294453E0
2.331886333E0,1.223031282E0,-7.539629936E-3,1.156000048E-2,1.223109152E0
2.341871333E0,1.218877792E0,-1.346995682E-2,8.088836446E-3,1.218979057E0
2.351855333E0,1.208626747E0,-1.009838656E-2,3.506197594E-3,1.208674019E0
2.361840333E0,1.190084696E0,-1.802106854E-3,1.682997681E-3,1.190087250E0
2.371824333E0,1.164015651E0,2.167311963E-3,3.549550893E-3,1.164023080E0
2.381809333E0,1.141773462E0,-5.949736573E-3,5.796459503E-3,1.141803677E0
2.391794333E0,1.110249043E0,-1.468860172E-2,9.609226137E-3,1.110387783E0
2.401778333E0,1.065977454E0,-1.727719419E-2,5.268540233E-3,1.066130476E0
2.411763333E0,1.023543239E0,-2.009299397E-2,1.192524098E-3,1.023741135E0
2.421747333E0,9.745496511E-1,-1.727190800E-2,-3.948974889E-3,9.747106934E-1
2.431732333E0,9.248848557E-1,-1.164758299E-2,-6.483037025E-3,9.249809146E-1
2.441716333E0,8.697292209E-1,-1.019003522E-2,-4.717627540E-3,8.698017076E-1
2.451701333E0,8.082445264E-1,-1.510596368E-2,-3.367404686E-3,8.083926917E-1
2.461685333E0,7.485333085E-1,-2.015558258E-2,-7.280823775E-5,7.488046252E-1
2.471670333E0,6.735357642E-1,-1.385394018E-2,2.755170222E-3,6.736838638E-1
2.481654333E0,6.071892381E-1,-6.832249928E-3,3.059037030E-3,6.072353812E-1
