"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.950009750E0,1.436031424E-2,2.732997894E0,-3.074130742E-3,2.733037350E0
1.959994750E0,1.536565740E-2,2.529171228E0,-3.310619155E-3,2.529220071E0
1.969978750E0,1.164388005E-2,2.317518234E0,-2.758583287E-3,2.317549127E0
1.979963750E0,8.842234500E-3,2.098396778E0,-2.970837289E-3,2.098417511E0
1.989947750E0,8.881661110E-3,1.874368906E0,-4.640406929E-3,1.874395693E0
1.999931750E0,9.072076529E-3,1.645135641E0,-2.991377376E-3,1.645163374E0
2.009915750E0,5.555639043E-3,1.412299275E0,-2.301352099E-3,1.412312078E0
2.019900750E0,3.489825409E-3,1.171291947E0,-9.364821017E-4,1.171297521E0
2.029884750E0,6.195321679E-3,9.326781631E-1,9.814184159E-4,9.326992554E-1
2.039869750E0,6.370557472E-3,6.896676421E-1,-4.937066697E-4,6.896972411E-1
2.049853750E0,2.981945407E-3,4.468873143E-1,5.865027197E-5,4.468972669E-1
2.059837750E0,-2.609496005E-5,2.008197755E-1,-2.613299061E-3,2.008367801E-1
2.069822750E0,-2.476984402E-3,-4.169297218E-2,-7.411474362E-4,4.177306166E-2
2.079806750E0,-9.893425740E-4,-2.861397266E-1,3.488846123E-4,2.861416497E-1
2.089790750E0,-1.402926981E-3,-5.304288864E-1,9.910268709E-4,5.304316675E-1
2.099775750E0,-5.087676458E-3,-7.710888982E-1,-6.460181903E-4,7.711059530E-1
2.109759750E0,-5.703948438E-3,-1.010710597E0,1.562520163E-3,1.010727900E0
2.119743750E0,-3.940402996E-3,-1.252392530E0,3.369741142E-3,1.252403263E0
2.129728750E0,-3.503371030E-3,-1.492562056E0,7.638894022E-5,1.492566169E0
2.139712750E0,-9.142613970E-3,-1.721255422E0,1.556573901E-3,1.721280406E0
2.149696750E0,-1.210353430E-2,-1.948956847E0,3.207251662E-3,1.948997069E0
2.159681750E0,-1.459385641E-2,-2.170187712E0,2.320685424E-3,2.170238022E0
2.169665750E0,-9.198543616E-3,-2.384109497E0,6.231628358E-3,2.384135386E0
2.179649750E0,-8.453657851E-3,-2.592998505E0,5.245726090E-3,2.593017591E0
2.189634750E0,-1.268834621E-2,-2.791246414E0,6.781890988E-3,2.791283492E0
2.199618750E0,-1.322763599E-2,-2.983372688E0,6.271363236E-3,2.983408604E0
2.209602750E0,-1.567694359E-2,-3.162908077E0,6.186071783E-3,3.162952978E0
2.219587750E0,-1.716245525E-2,-3.331645966E0,4.124252591E-3,3.331692723E0
2.229571750E0,-2.006929927E-2,-3.486511469E0,2.250930760E-3,3.486569957E0
2.239555750E0,-1.839603484E-2,-3.625564337E0,6.503466517E-3,3.625616840E0
2.249540750E0,-2.325308695E-2,-3.755442142E0,3.490707837E-3,3.755515754E0
2.259524750E0,-7.287702989E-3,-3.867320061E0,7.048691157E-3,3.867333351E0
2.269508750E0,-2.020404674E-2,-3.961158276E0,4.131834023E-3,3.961211956E0
2.279493750E0,-2.367893979E-2,-4.032337189E0,5.665548146E-3,4.032410693E0
2.289477750E0,-1.291417889E-2,-4.087820053E0,7.525304332E-3,4.087847379E0
2.299461750E0,-1.829962246E-2,-4.121820450E0,3.680232679E-3,4.121862715E0
2.309446750E0,-2.192473039E-2,-4.142601013E0,5.174636375E-3,4.142662263E0
2.319430750E0,-2.296522819E-2,-4.136795521E0,5.447343923E-3,4.136862852E0
2.329414750E0,-2.210686728E-2,-4.111827850E0,5.306130275E-3,4.111890701E0
2.339399750E0,-1.768602058E-2,-4.070282936E0,3.832869697E-3,4.070323165E0
2.349383750E0,-1.630811952E-2,-4.004905701E0,3.458745079E-3,4.004940398E0
2.359367750E0,-1.845356077E-2,-3.916486502E0,4.614024423E-3,3.916532694E0
2.369352750E0,-2.220355533E-2,-3.818896770E0,5.555381067E-3,3.818965358E0
2.379336750E0,-2.047836035E-2,-3.701138735E0,5.837143399E-3,3.701199991E0
2.389320750E0,-1.628494449E-2,-3.567573786E0,3.995425534E-3,3.567613191E0
2.399305750E0,-1.834197156E-2,-3.412771702E0,4.634584300E-3,3.412824138E0
2.409289750E0,-1.817260310E-2,-3.251731634E0,2.309004311E-3,3.251783233E0
2.419273750E0,-1.762878522E-2,-3.074880362E0,2.990240697E-3,3.074932349E0
2.429258750E0,-1.635126024E-2,-2.888722181E0,-3.116137581E-3,2.888770139E0
2.439242750E0,-2.174203098E-2,-2.689044476E0,-1.952786744E-2,2.689203273E0
2.449226750E0,-9.686164558E-3,-2.506190538E0,1.831341069E-3,2.506209925E0
2.459211750E0,-1.679920219E-2,-2.293851614E0,2.012169687E-3,2.293914011E0
2.469195750E0,-1.024861354E-2,-2.084155083E0,3.597163595E-4,2.084180312E0
2.479179750E0,-8.212893270E-3,-1.867367744E0,4.468973726E-3,1.867391152E0
2.489164750E0,-6.645630579E-3,-1.647563338E0,4.275182728E-3,1.647582288E0
2.499148750E0,-7.405962795E-3,-1.417906523E0,3.976109903E-3,1.417931439E0
2.509133750E0,-3.652244806E-3,-1.183048010E0,3.482713597E-3,1.183058774E0
2.519117750E0,7.787226932E-4,-9.489858150E-1,1.080720499E-2,9.490476696E-1
2.529101750E0,-8.274150081E-3,-7.132628560E-1,-2.900047228E-3,7.133167414E-1
2.539086750E0,-3.105220851E-3,-4.893429577E-1,-1.291764434E-3,4.893545150E-1
2.549070750E0,8.381322259E-4,-2.583953738E-1,7.948605344E-4,2.583979556E-1
2.559054750E0,3.561001504E-4,-2.396848425E-2,5.765818059E-6,2.397113009E-2
2.569039750E0,1.328140264E-3,2.128684819E-1,-2.054351848E-3,2.128825378E-1
2.579023750E0,3.478642553E-3,4.425330758E-1,-9.533064440E-5,4.425467582E-1
2.589007750E0,3.452297300E-3,6.801863909E-1,-2.941836603E-3,6.802015136E-1
2.598992750E0,2.660806058E-3,9.181619287E-1,-1.636621542E-3,9.181672427E-1
2.608976750E0,1.085933112E-2,1.148570061E0,8.243347518E-3,1.148650975E0
2.618960750E0,9.611374699E-3,1.369099140E0,-1.332581276E-3,1.369133525E0
2.628945750E0,1.183751039E-2,1.597154498E0,-3.099588444E-3,1.597201373E0
2.638929750E0,1.060207002E-2,1.815595508E0,1.625174191E-4,1.815626470E0
2.648913750E0,1.121058874E-2,2.032665968E0,-2.653068164E-3,2.032698613E0
2.658897708E0,1.387508027E-2,2.247794867E0,-5.430478603E-3,2.247844250E0
2.668881708E0,1.455048285E-2,2.452896833E0,-3.948762082E-3,2.452943168E0
2.678865708E0,1.030966453E-2,2.651436090E0,-3.183902241E-3,2.651458046E0
2.688850708E0,9.123498574E-3,2.853774071E0,-2.337573841E-2,2.853884390E0
2.698834708E0,8.981020190E-3,3.023112774E0,-4.971698392E-3,3.023130202E0
2.708818708E0,1.358880755E-2,3.193930626E0,-2.572087338E-3,3.193960569E0
2.718803708E0,1.810606010E-2,3.356355429E0,-6.213692948E-3,3.356410017E0
2.728787708E0,1.915721223E-2,3.510813713E0,-4.390563816E-3,3.510868725E0
2.738771708E0,1.368175354E-2,3.646516800E0,-2.260833979E-3,3.646543168E0
2.748756708E0,2.226778865E-2,3.763893604E0,-3.506073961E-3,3.763961107E0
2.758740708E0,2.245474234E-2,3.868105412E0,-6.901072338E-3,3.868176743E0
2.768724708E0,1.643411629E-2,3.954712391E0,-2.038019476E-3,3.954747063E0
2.778709708E0,2.706678584E-2,4.023202419E0,-6.470052525E-3,4.023298669E0
2.788693708E0,1.208040677E-2,4.069389820E0,-4.929353949E-3,4.069410737E0
2.798677708E0,2.066271007E-2,4.097829819E0,-5.446007010E-3,4.097885532E0
2.808662708E0,2.363877185E-2,4.103654861E0,-5.106335040E-3,4.103726122E0
2.818646708E0,2.901755832E-2,4.086458683E0,-2.010143362E-3,4.086562202E0
2.828630708E0,2.177351899E-2,4.051105499E0,-3.079467453E-3,4.051165182E0
2.838615708E0,1.362238172E-2,3.999459505E0,-7.759973407E-3,3.999490232E0
2.848599708E0,2.521056496E-2,3.930049896E0,-4.760710523E-3,3.930133639E0
2.858583708E0,2.432000265E-2,3.837837458E0,-3.829403082E-3,3.837916424E0
2.868568708E0,1.249584742E-2,3.735064507E0,-5.857166834E-3,3.735090002E0
2.878552708E0,2.714350075E-2,3.609889030E0,-2.467761748E-3,3.609991921E0
2.888536708E0,1.974896714E-2,3.472887278E0,-3.957001492E-3,3.472945684E0
2.898521708E0,1.727009565E-2,3.322126150E0,-3.856600262E-3,3.322173278E0
2.908505708E0,1.591907442E-2,3.157097578E0,-4.534641281E-3,3.157140969E0
2.918489708E0,1.175468974E-2,2.980563402E0,-3.720778972E-3,2.980588903E0
2.928474708E0,8.008417673E-3,2.791238308E0,-5.395232700E-3,2.791255011E0
2.938458708E0,1.225429494E-2,2.596605301E0,-1.760551007E-3,2.596634814E0
2.948443708E0,1.612731814E-2,2.391094923E0,-1.468298258E-3,2.391149761E0
2.958427708E0,9.499242529E-3,2.177066565E0,-4.085120745E-3,2.177091121E0
2.968411708E0,6.653115619E-3,1.959882975E0,-3.406994510E-4,1.959894297E0
2.978396708E0,9.762090631E-3,1.735870600E0,-9.340515826E-4,1.735898301E0
2.988380708E0,1.061430480E-2,1.507109523E0,5.044462159E-4,1.507146984E0
2.998364708E0,8.149016649E-3,1.276055455E0,2.826049458E-4,1.276081506E0
3.008349708E0,5.944478791E-3,1.041607022E0,2.771920757E-3,1.041627673E0
3.018333708E0,2.424046397E-3,8.004230857E-1,-6.537034642E-4,8.004270232E-1
3.028317708E0,4.124725703E-3,5.611236691E-1,-8.716420271E-4,5.611395060E-1
3.038302708E0,1.354239183E-3,3.202748299E-1,-1.745425165E-3,3.202824490E-1
3.048286708E0,1.252072398E-4,7.910086215E-2,-1.782155130E-3,7.912103479E-2
3.058270708E0,-8.441834361E-4,-1.650731862E-1,-1.427133102E-4,1.650754064E-1
3.068255708E0,6.548900856E-4,-4.115023911E-1,1.869690605E-3,4.115071597E-1
3.078239708E0,-4.079943988E-3,-6.493991613E-1,-1.505834516E-4,6.494119951E-1
3.088223708E0,-4.956910852E-3,-8.909208179E-1,8.155789692E-4,8.909349807E-1
